,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Hawaii
6,Idaho
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Massachusetts
13,Michigan
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,New Hampshire
19,North Dakota
20,Oklahoma
21,Oregon
22,Rhode Island
23,South Dakota
24,Tennessee
25,Vermont
26,Wisconsin
27,Wyoming
